startup_name,industry,business_model,current_stage,country,funding_target,team_size,founder_experience,problem_statement,target_customers,key_competitors,gtm_strategy
Creative Market,Enterprise,B2B,Growth,US,392991639,127,Experienced,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Swayable,Enterprise,B2B,Series B,US,699045570,93,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Lob,Software,SaaS,Growth,US,756705563,166,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Promoted.ai,Ecommerce,Marketplace,Seed,US,6302559,15,Intermediate,Online sellers struggle with customer acquisition.,Online Customers,"Flipkart, Amazon, Meesho",Digital Marketing
BackType,Software,SaaS,Idea,US,1230477,3,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Experiment,Advertising,Freemium,Prototype,US,980660279,104,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Embrace,Software,SaaS,Seed,US,14422809,11,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Toothy AI,Software,SaaS,Prototype,US,325542789,136,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Lollipuff,Software,SaaS,Series A,US,122106315,50,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Firezone,Software,SaaS,Growth,US,442295882,124,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Closer Sports,Software,SaaS,Prototype,Unknown,714617805,148,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Camlist,Enterprise,B2B,Prototype,GB,329853799,136,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
RADAR,Software,SaaS,Seed,US,19102049,9,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Fam,Enterprise,B2B,Series B,US,244214568,141,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Teespring,Software,SaaS,Growth,US,239952035,82,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Bluedot,Software,SaaS,Prototype,US,244177246,168,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
StrongIntro,Games_Video,B2C,Idea,US,4836371,5,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Anfin,Software,SaaS,Series B,VN,771446254,116,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Weltio,Software,SaaS,Series B,MX,417056635,76,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Phases,Software,SaaS,Growth,US,940304923,181,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Zenedy,Games_Video,B2C,Series B,US,559083103,109,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Necto,Advertising,Freemium,Seed,US,10818738,8,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Path,Software,SaaS,Seed,US,15760178,8,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Homeflow,Software,SaaS,Growth,US,402611631,60,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Kashikoi,Software,SaaS,Series A,US,54670151,26,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Purple Plate,Software,SaaS,Series B,US,397328866,130,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Rio,Software,SaaS,Series A,MX,133007341,35,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Kapacity.io,Enterprise,B2B,MVP,FI,627365525,137,Experienced,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Almond,Enterprise,B2B,Prototype,Unknown,838782670,159,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Better Auth,Advertising,Freemium,Series A,US,111991377,53,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Honeydue,Software,SaaS,Idea,US,3551478,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Levers,Software,SaaS,Idea,SA,1954769,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
GoGoGrandparent,Software,SaaS,Series B,US,977838401,102,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Roame,Advertising,Freemium,MVP,US,522808940,181,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Luminal,Software,SaaS,Seed,Unknown,12538182,14,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Vendr.com,Software,SaaS,Growth,US,936340985,189,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
CloudCruise,Advertising,Freemium,Series A,US,182484659,60,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Peg (formerly Paymobil),Software,SaaS,Growth,US,752888424,81,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Plutis,Software,SaaS,Series A,US,172015693,37,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Lovage,Biotech,B2B,Growth,US,654482058,158,Experienced,Drug discovery is slow and expensive.,Healthcare Companies,"Moderna, Biocon",Clinical Partnerships
VergeSense,Software,SaaS,Series B,US,409960097,99,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Govly,Software,SaaS,Series B,US,637456630,126,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Great Question,Software,SaaS,Series A,US,53461553,23,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Meadow,Software,SaaS,Prototype,US,462957768,183,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
VoiceOS,Advertising,Freemium,Seed,US,21966780,11,Experienced,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Devyce,Advertising,Freemium,Series A,GB,135578979,22,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
StayQrious,Software,SaaS,Idea,IN,2424085,5,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Proper,Ecommerce,Marketplace,Seed,US,16933096,15,Intermediate,Online sellers struggle with customer acquisition.,Online Customers,"Flipkart, Amazon, Meesho",Digital Marketing
Insoshi,Software,SaaS,Series A,Unknown,58407144,46,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Buxfer,Enterprise,B2B,Series B,US,668498797,88,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Nuntius,Software,SaaS,Series B,US,267439127,187,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Flott HQ,Biotech,B2B,Growth,Unknown,558779913,81,Intermediate,Drug discovery is slow and expensive.,Healthcare Companies,"Moderna, Biocon",Clinical Partnerships
Preki,Ecommerce,Marketplace,Series B,CO,803158240,136,Experienced,Online sellers struggle with customer acquisition.,Online Customers,"Flipkart, Amazon, Meesho",Digital Marketing
VanGo,Advertising,Freemium,Idea,US,4794492,5,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Human Dx,Software,SaaS,Prototype,US,321664666,155,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Patchwork,Software,SaaS,Prototype,US,724301295,122,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Keeling Labs,Enterprise,B2B,Growth,US,968953676,80,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
C16 Biosciences,Software,SaaS,MVP,US,213524660,101,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
GIMO,Software,SaaS,Series A,VN,112068544,40,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
AlgoUniversity,Software,SaaS,Series A,IN,169164408,21,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Finary,Advertising,Freemium,Prototype,US,389729703,147,Experienced,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
AudioFocus,Advertising,Freemium,MVP,US,916361311,139,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Relevium Medical,Software,SaaS,Prototype,IE,474358013,119,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Wibond,Software,SaaS,MVP,AR,293977263,88,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Union Apartment,Advertising,Freemium,Series A,US,101922662,30,Experienced,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
CUTR,Enterprise,B2B,Prototype,NL,488333885,90,Experienced,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Morada Uno,Software,SaaS,Series B,MX,667900738,163,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
SolarMente,Software,SaaS,Idea,ES,1027530,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Ubicloud,Advertising,Freemium,Series A,Unknown,166777900,29,Experienced,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Cactus,Software,SaaS,Idea,Unknown,2638974,2,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Canopy (was Encarte),Software,SaaS,Growth,US,718202825,133,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Kosh,Software,SaaS,Seed,IN,25412362,7,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Copper Health,Enterprise,B2B,Prototype,US,339970608,117,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Delineate,Enterprise,B2B,MVP,US,887301661,153,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Memora Health,Software,SaaS,Seed,US,19421381,15,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Lyra,Software,SaaS,Prototype,US,258787010,121,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Remi,Software,SaaS,Growth,US,416435148,197,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Chima,Software,SaaS,Series A,US,167837699,54,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Posterous,Games_Video,B2C,Seed,US,28156651,10,Experienced,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Players' Lounge,Software,SaaS,Seed,US,27469954,11,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Phase Biolabs,Biotech,B2B,Idea,GB,3853466,2,Intermediate,Drug discovery is slow and expensive.,Healthcare Companies,"Moderna, Biocon",Clinical Partnerships
Phykos,Biotech,B2B,Seed,US,23154843,7,Intermediate,Drug discovery is slow and expensive.,Healthcare Companies,"Moderna, Biocon",Clinical Partnerships
Firecrawl,Enterprise,B2B,Prototype,US,320103759,69,Experienced,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
OneSchema,Finance,B2B,Idea,US,4415424,4,Intermediate,Financial services remain inaccessible and expensive.,SMEs,"Razorpay, CRED, Groww, PhonePe",Enterprise Sales
Floot,Games_Video,B2C,Series A,US,169844975,42,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Our World in Data,Software,SaaS,Seed,GB,21839019,13,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Blueberry Pediatrics,Software,SaaS,Prototype,US,661807762,137,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Lightmeter,Software,SaaS,Seed,GB,19997565,15,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Skyways,Software,SaaS,Seed,US,16413706,7,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
AlphaWatch AI,Software,SaaS,Prototype,US,687889808,115,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
DreamWorld,Software,SaaS,MVP,US,808931741,185,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Infina,Enterprise,B2B,Idea,VN,3163516,5,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Evidence,Software,SaaS,Growth,CA,273147687,110,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Webhound,Advertising,Freemium,Seed,US,23310630,9,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Orange Health Labs,Software,SaaS,Seed,IN,22076278,10,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Pinch,Software,SaaS,Seed,Unknown,22932943,7,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Anglera,Software,SaaS,Idea,US,1051701,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Spokn,Software,SaaS,Seed,US,13202276,7,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Lingt,Software,SaaS,Prototype,US,343557617,79,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Promakhos Therapeutics,Enterprise,B2B,Prototype,US,664832648,95,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Tejas AI,Software,SaaS,Series A,US,153111909,31,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Suggestr,Software,SaaS,Idea,SG,4236689,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
NetworkOcean,Biotech,B2B,Series A,US,128956538,27,Intermediate,Drug discovery is slow and expensive.,Healthcare Companies,"Moderna, Biocon",Clinical Partnerships
Robby Technologies,Software,SaaS,Growth,US,821713910,102,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Collections,Software,SaaS,Series B,US,905474352,137,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Kidato,Software,SaaS,Prototype,KE,933037998,181,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Demo Gorilla,Software,SaaS,MVP,US,425562880,198,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Hent,Advertising,Freemium,Series A,BR,82750925,43,Experienced,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Blueberry Pediatrics,Games_Video,B2C,MVP,US,675056616,184,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Prompt,Software,SaaS,Idea,Unknown,4904274,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
The Flex Company,Software,SaaS,Growth,US,838565705,105,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Kiko,Software,SaaS,Growth,US,996711804,157,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Apozy,Software,SaaS,Seed,US,5196393,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Unbabel,Software,SaaS,Prototype,US,371342638,97,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Waffle,Software,SaaS,Idea,US,2559992,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Doppler,Software,SaaS,MVP,Unknown,910846143,117,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Path,Biotech,B2B,Series B,US,890734364,87,Experienced,Drug discovery is slow and expensive.,Healthcare Companies,"Moderna, Biocon",Clinical Partnerships
ContextFort,Games_Video,B2C,Series A,US,31512343,38,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Quadrant Eye,Software,SaaS,Series B,US,918175322,88,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
WeReno,Software,SaaS,Prototype,CA,294201376,100,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Hipmob,Software,SaaS,Series A,US,106965151,57,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Remo,Software,SaaS,Idea,Unknown,3340262,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Finmark,Enterprise,B2B,MVP,US,723109182,168,Experienced,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Charm,Software,SaaS,Prototype,US,407830894,72,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Screenleap,Software,SaaS,Seed,US,25147625,9,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Entangl,Software,SaaS,Growth,US,387423935,169,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Sleep Reset,Software,SaaS,MVP,US,207302062,154,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Micro Meat,Games_Video,B2C,MVP,MX,407499081,100,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Front,Ecommerce,Marketplace,Growth,US,602971345,144,Intermediate,Online sellers struggle with customer acquisition.,Online Customers,"Flipkart, Amazon, Meesho",Digital Marketing
ControlHub,Software,SaaS,Series B,Unknown,323714602,139,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Genuity,Software,SaaS,MVP,US,560567764,135,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Fullstack Academy,Software,SaaS,Series B,US,503625012,86,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Fig,Software,SaaS,Prototype,US,987925165,103,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
GovEagle,Software,SaaS,Seed,US,27318762,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Verto,Software,SaaS,Seed,GB,7273205,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Scratch Data,Software,SaaS,Series A,US,100878739,46,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
SalaryBook,Games_Video,B2C,Growth,IN,859131166,188,Experienced,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Culture Biosciences,Software,SaaS,Growth,US,735403610,168,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Juni,Advertising,Freemium,Series B,US,331209311,128,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Picwing,Software,SaaS,Idea,US,2694691,2,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
OpenFoundry,Software,SaaS,Idea,US,4378692,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Caelum Health,Software,SaaS,Idea,US,3412130,3,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Varos,Software,SaaS,MVP,US,748250107,115,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Positional,Software,SaaS,Idea,US,1141868,3,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Dex,Games_Video,B2C,Growth,US,387267321,118,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
coil inc.,Software,SaaS,Series A,US,161834459,49,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Gem,Finance,B2B,Growth,US,205884109,119,Intermediate,Financial services remain inaccessible and expensive.,SMEs,"Razorpay, CRED, Groww, PhonePe",Enterprise Sales
Elementary,Software,SaaS,MVP,IL,790827024,174,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
SpruceID,Software,SaaS,Series A,US,47115891,20,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Odapt,Finance,B2B,Series A,Unknown,154075409,53,Intermediate,Financial services remain inaccessible and expensive.,SMEs,"Razorpay, CRED, Groww, PhonePe",Enterprise Sales
Airbyte,Games_Video,B2C,Series A,US,162145271,40,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Emerge Career,Software,SaaS,Series B,Unknown,387300180,163,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Saida,Software,SaaS,Growth,KE,418086819,191,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
GovPredict,Software,SaaS,Idea,US,4232388,3,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Open Motors,Software,SaaS,Seed,US,16849185,10,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Popl,Enterprise,B2B,Seed,US,13662189,5,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Auricle,Software,SaaS,Series A,US,75529406,33,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Backpack,Software,SaaS,MVP,US,881268758,102,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
phospho,Software,SaaS,Prototype,US,842410770,127,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Lightdash,Software,SaaS,Idea,GB,4888346,2,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Narrative,Software,SaaS,Prototype,US,367593134,76,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Spotlight Realty,Software,SaaS,Growth,US,950166769,150,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
erad,Software,SaaS,MVP,SA,799685683,99,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Symple,Enterprise,B2B,Idea,US,4595606,5,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Chirply,Advertising,Freemium,Growth,US,244536545,65,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Paces,Games_Video,B2C,Seed,US,15467802,15,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Tracecat,Enterprise,B2B,MVP,US,902946365,71,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Winford Wealth,Enterprise,B2B,Idea,Unknown,3042544,3,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Cohesive,Biotech,B2B,Series A,US,127007967,44,Intermediate,Drug discovery is slow and expensive.,Healthcare Companies,"Moderna, Biocon",Clinical Partnerships
Trigger.dev,Software,SaaS,Series A,GB,51323708,56,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Event Horizon Labs,Software,SaaS,Idea,US,4858350,4,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Tensil,Games_Video,B2C,Series A,US,160475860,32,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Alter,Software,SaaS,Series B,US,549463266,105,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
CreatorML,Software,SaaS,Growth,US,923602811,112,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Dashdive,Software,SaaS,Series B,US,528753411,62,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Synder,Software,SaaS,Series B,US,611860783,68,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Dyte,Software,SaaS,Series B,IN,768061459,112,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
